index,add,coord,id,side,state,cnty,key1,block
1,"309 47TH ST, BROOKLYN, NY, 11220","-74.01236,40.64908",59094397,L,36,47,8000,3001
2,"655 PARKSIDE AVE, BROOKLYN, NY, 11226","-73.95161,40.656178",59079612,L,36,47,80200,2001
3,"50 JEFFERSON AVE, BROOKLYN, NY, 11216","-73.955536,40.682644",59078844,R,36,47,22700,1001
4,"923 JEROME ST, BROOKLYN, NY, 11207","-73.879295,40.657837",59085692,L,36,47,107800,1011
5,"820 HANCOCK ST, BROOKLYN, NY, 11233","-73.92304,40.68563",642653482,R,36,47,37700,1001
6,"43 SNYDER AVE, BROOKLYN, NY, 11226","-73.95716,40.648586",59081363,L,36,47,79400,1003
7,"858 JAMAICA AVE, BROOKLYN, NY, 11208","-73.8732,40.68966",59095036,R,36,47,118201,2000
8,"37 HICKS ST, BROOKLYN, NY, 11201","-73.99332,40.700565",59074900,L,36,47,100,3003
9,"80 UNDERHILL AVE, BROOKLYN, NY, 11238","-73.965546,40.67828",59078005,R,36,47,20500,1002
10,"511 7TH AVE, BROOKLYN, NY, 11215","-73.98656,40.661045",59075822,L,36,47,14900,4002
11,"419 WAVERLY AVE, BROOKLYN, NY, 11238","-73.96637,40.685837",59077960,L,36,47,19900,1000
12,"430 HOWARD AVE, BROOKLYN, NY, 11233","-73.91959,40.67307",59099278,R,36,47,36300,2000
13,"557 PENNSYLVANIA AVE, BROOKLYN, NY, 11207","-73.89368,40.66335",59084889,L,36,47,112600,2002
14,"2424 BATCHELDER ST, BROOKLYN, NY, 11235","-73.93765,40.59344",59092073,R,36,47,59600,1000
15,"71 SULLIVAN ST, BROOKLYN, NY, 11231","-74.011826,40.677532",59093510,L,36,47,5300,2005
16,"157 WILSON ST, BROOKLYN, NY, 11211","-73.961426,40.706043",59076198,L,36,47,53500,3000
17,"208 N 5TH ST, BROOKLYN, NY, 11211","-73.956924,40.715485",59076609,R,36,47,51900,2002
18,"101 MAUJER ST, BROOKLYN, NY, 11206","-73.946976,40.710606",59076913,L,36,47,50300,2000
20,"225 ADELPHI ST, BROOKLYN, NY, 11205","-73.97139,40.690834",59077531,L,36,47,18300,1002
21,"180 CHAUNCEY ST, BROOKLYN, NY, 11233","-73.92833,40.68053",59082869,R,36,47,38100,3001
23,"545 WILLOUGHBY AVE, BROOKLYN, NY, 11206","-73.94717,40.69411",59078760,L,36,47,25901,1002
24,"427 38TH ST, BROOKLYN, NY, 11232","-74.004906,40.65278",59093996,L,36,47,8400,2000
25,"787 LAFAYETTE AVE, BROOKLYN, NY, 11221","-73.94075,40.6911",59079031,L,36,47,28100,3003
26,"1014 LAFAYETTE AVE, BROOKLYN, NY, 11221","-73.932274,40.692066",59082585,R,36,47,29100,1000
