_id,geoid,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,z_ED_nat,z_HE_nat,z_SE_nat,z_COI_nat,c5_ED_nat,c5_HE_nat,c5_SE_nat,c5_COI_nat,r_ED_nat,r_HE_nat,r_SE_nat,r_COI_nat,c5_ED_stt,c5_HE_stt,c5_SE_stt,c5_COI_stt,r_ED_stt,r_HE_stt,r_SE_stt,r_COI_stt,c5_ED_met,c5_HE_met,c5_SE_met,c5_COI_met,r_ED_met,r_HE_met,r_SE_met,r_COI_met
85374,36001000100,2010,1,10580,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,708,-0.057079617,-0.064363599,-0.29961103,-0.048025496,Low,Very Low,Very Low,Very Low,21,5,8,7,Low,Very Low,Very Low,Very Low,23,2,17,14,Very Low,Very Low,Very Low,Very Low,11,6,5,6
85375,36001000100,2015,1,10580,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,511,-0.077809505,-0.028236942,-0.364685,-0.054046012,Very Low,Very Low,Very Low,Very Low,13,15,5,5,Very Low,Very Low,Very Low,Very Low,15,4,13,10,Very Low,Very Low,Very Low,Very Low,7,10,4,4
85376,36001000200,2010,1,10580,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,2013,-0.043493968,-0.10237686,-0.34781855,-0.056178372,Low,Very Low,Very Low,Very Low,28,2,5,5,Low,Very Low,Very Low,Very Low,28,1,14,10,Very Low,Very Low,Very Low,Very Low,15,4,4,4
85377,36001000200,2015,1,10580,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,1159,-0.091895327,-0.10660341,-0.48896548,-0.078404702,Very Low,Very Low,Very Low,Very Low,9,1,2,1,Very Low,Very Low,Very Low,Very Low,10,1,6,2,Very Low,Very Low,Very Low,Very Low,4,2,2,2
85378,36001000300,2010,1,10580,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,1919,-0.016640734,0.043811034,-0.20848437,-0.021439752,Moderate,High,Very Low,Low,45,75,14,23,Moderate,Moderate,Low,Low,41,60,24,28,Low,Moderate,Very Low,Very Low,21,42,12,15
85379,36001000300,2015,1,10580,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,1307,-0.052934542,-0.004123265,-0.24447693,-0.034741245,Low,Low,Very Low,Very Low,23,29,11,13,Low,Very Low,Low,Very Low,25,10,21,20,Very Low,Very Low,Very Low,Very Low,13,15,9,9
85380,36001000401,2010,1,10580,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,142,0.039017338,0.018222589,0.20599303,0.030224416,High,Moderate,Very High,High,73,48,87,80,High,Low,Very High,High,68,23,89,80,Low,Low,High,Moderate,40,22,70,56
85381,36001000401,2015,1,10580,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,201,0.0252099,0.028041475,0.1789954,0.026600944,High,Moderate,Very High,High,67,58,82,76,High,Low,Very High,High,62,36,84,76,Low,Low,Moderate,Moderate,33,31,58,48
85382,36001000403,2010,1,10580,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,359,0.033715475,0.019669197,0.020854484,0.008247227,High,Moderate,Moderate,Moderate,71,50,49,55,High,Low,Moderate,Moderate,66,25,57,57,Low,Low,Low,Low,38,24,27,28
85383,36001000403,2015,1,10580,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,608,0.021998804,0.01498369,0.13513963,0.019752927,High,Moderate,High,High,66,45,73,69,High,Very Low,High,High,61,20,76,69,Low,Low,Moderate,Low,32,21,47,35
